team,group,rating,logo
Mexico,A,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png
South Korea,A,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kor.png
South Africa,A,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rsa.png
Czech Republic,A,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png
Canada,B,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/can.png
Switzerland,B,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swi.png
Qatar,B,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png
Bosnia & Herzegovina,B,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bih.png
Brazil,C,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bra.png
Morocco,C,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mor.png
Scotland,C,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png
Haiti,C,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hai.png
USA,D,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png
Australia,D,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png
Paraguay,D,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png
Turkey,D,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tur.png
Germany,E,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png
Ecuador,E,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png
Ivory Coast,E,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/civ.png
Curaçao,E,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/11678.png
Netherlands,F,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png
Japan,F,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png
Tunisia,F,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png
Sweden,F,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png
Belgium,G,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png
Iran,G,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png
Egypt,G,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png
New Zealand,G,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nzl.png
Spain,H,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png
Uruguay,H,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png
Saudi Arabia,H,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png
Cape Verde,H,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cpv.png
France,I,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png
Senegal,I,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png
Norway,I,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nor.png
Iraq,I,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png
Argentina,J,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png
Austria,J,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png
Algeria,J,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alg.png
Jordan,J,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jor.png
Portugal,K,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png
Colombia,K,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/col.png
Uzbekistan,K,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uzb.png
DR Congo,K,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cgo.png
England,L,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png
Croatia,L,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png
Ghana,L,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gha.png
Panama,L,,https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png